Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	CYFP1_HUMAN	Cytoplasmic FMR1-interacting protein 1	3p8cA	3p8cAE	CYFP1_HUMAN - BRK1_HUMAN	-5.796	-13.655	44	57	77.19%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.204277459	1.157894737	0.236531794	-1.37093828	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8	6c3oE	6c3oAE	ABCC8_HUMAN - KCJ11_HUMAN	-8.344	-18.273	38	60	63.33%	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, fallopian tube, hippocampus, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, thyroid gland"	1.5	0.03012682	0.95	0.028620479	-0.238809279	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8	6c3pE	6c3pAE	ABCC8_HUMAN - KCJ11_HUMAN	-7.494	-17.983	38	47	80.85%	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, fallopian tube, hippocampus, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, thyroid gland"	1	0.017213093	0.808510638	0.013916969	-0.104293765	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	IMB1_HUMAN	Importin subunit beta-1	1qgrA	1qgrAB	IMB1_HUMAN - IMA1_HUMAN	-10.795	-8.451	24	24	100.00%	No expression data available	0.5	0.862327157	0.5	0.431163578	-4.654410829	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	CTNB1_HUMAN	Catenin beta-1	1t08A	1t08AB	CTNB1_HUMAN - CNBP1_HUMAN	-8.886	-7.902	27	29	93.10%	No expression data available	0.5	0.617797118	0.465517241	0.28759521	-2.555571038	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	TFR1_HUMAN	Transferrin receptor protein 1	6d03B	6d03BE	TFR1_HUMAN - A5K736_PLAVS	-6.123	-13.317	49	75	65.33%	No expression data available	1.5	0.001079329	0.98	0.001057742	-0.006476554	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	MYO10_HUMAN	Unconventional myosin-X	3au4A	3au4AB	MYO10_HUMAN - DCC_HUMAN	-13.649	-19.556	22	27	81.48%	No expression data available	0.5	0.868485785	0.407407407	0.353827542	-4.829392122	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	SYRC_HUMAN	"Arginine--tRNA ligase, cytoplasmic"	4r3zB	4r3zAB	SYRC_HUMAN - AIMP1_HUMAN	-10.092	-12.167	39	39	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, gallbladder, hippocampus, liver, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.100298992	1	0.100298992	-1.012217427	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	MYO10_HUMAN	Unconventional myosin-X	3pzdA	3pzdAB	MYO10_HUMAN - DCC_MOUSE	-11.957	-12.107	21	28	75.00%	No expression data available	0.5	0.636954493	0.375	0.238857935	-2.856024326	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	ALPK1_HUMAN	Alpha-protein kinase 1	5z2cA	5z2cAB	ALPK1_HUMAN - ALPK1_HUMAN	-5.616	-3.321	27	42	64.29%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0	0.642857143	0	0	
