pdb_id	chains
1TSQ	A,B,P
1TSU	A,B,P
5K14	A,B
1KJG	A,B,P
4EP3	A,E
4OBD	A,B,C,D,E,F
4OBF	A,B,C,D,E,F
4OBG	A,B,C,D,E,F
4OBH	A,B,C,D,E,F
4OBJ	A,B,C
4OBK	A,B,C
4F75	A,B,C,D
4F76	A,B,C,D
4EPJ	A,D
4EQ0	A,P
4EP2	A,B
4EQJ	A,G
4F73	A,B,C,D
4F74	A,B,C
6R2G	A,C
5J2M	A,B
1GZL	C,D
8DX3	A,B
8DXK	A,B
7SNZ	A,B
3CYW	A,B
3D1X	A,B
2FX7	P
2FX9	P,Q
3TLH	A
1TJH	P
1TJI	P
3MLX	P,Q
2FX8	P,Q,R,S
1B9F	A
1HXB	A,B
3UJI	P
2B0S	P
1F58	P
3F4Y	A,B,C,D,E,F
4QGI	A,B
4M1D	P,Q
3H00	A,B,C,D
3GWO	A,B
3H01	A,B
2X83	A,C
1Q1J	P,Q
3D0V	C
3TH9	A,B
2X7R	A,D,N,B,C,E
3VFA	A,B
1HSH	A,B,C,D
7TV2	A
3EBZ	A,B
3EC0	A,B
3BGB	A,B
3BGC	A,B
3ECG	A,B
3D1Z	A,B
3D20	A,B
3D1Y	A,B
2Z54	A,B
2AOH	A,B,C
2AOI	A,B,C
2AOC	A,B
2AOD	A,B
2AOG	A,B
3MOA	P
2AOE	A,B
2AOJ	A,B,C
2AVQ	A,B
3S45	A,B
1JLD	A,B
2WKZ	A,B
2WL0	A,B
4NYF	A,B
2MIP	A,B,C,D,E,F,G,H
1HSI	A,B
1HII	A,B
1IDA	A,B
1IDB	A,B
1IVP	A,B
5UPJ	A,B
6UPJ	A,B
1D4K	A,B
1D4L	A,B
1MU2	A,B
5AGZ	A,B
5AH6	A,B
5AH7	A,B
5AH8	A,B
5AH9	A,B
5AHA	A,B
5AHB	A,B
5AHC	A,B
3UPJ	A,B
4UPJ	A,B
4K4P	A,B
4K4Q	A,B
4K4R	A,B
3UIA	A,B,C
4DGB	B
3BXR	A,B
3BXS	A,B
2HPE	A,B,S
2XYE	A,B
2XYF	A,B
3HLO	A
3FSM	A
3HAU	A,B
3HAW	A,B
3HBO	A,B
3HDK	A,B
8FLY	A,B,C,D
8FLZ	A,B,C,D
8FM0	A,B,C,D
8FM2	A,B,C,D
8FM3	A,B,C,D
8FM4	A,B,C,D
8FM5	A,B,C,D
8FM7	A,B,C,D
8FM8	A,B,C,D
8JYH	A
8JYJ	A
3IAW	A
3KA2	A
8JYI	A
7N05	E
7N08	E,F,G
3NWQ	A,B
3NWX	A,B
3NXN	A
3NYG	A,B
8ELI	A
1Z1H	A,B
1Z1R	A,B
5KD7	E,H,K,P
5T7G	P,Q
4QJ6	A,B,C,D,E,F
4QJ9	A,B,G
4QJA	A,B,P
4QJ7	A,B,C,D,F,G
4QJ8	A,B,C,D,E,F
2NXD	A,B,P
2NXM	A,B,P
3LZV	A,B
3EKW	A,B
3EKY	A,B
3EL1	A,B
3EL9	A,B
3EKX	A,B
3EL0	A,B
3EL5	A,B
3EKT	A,B,C,D
2NXL	A,B,P
3EKP	A,B,C,D
3EKV	A,B
3EL4	A,B
3OXW	A,B,C,D
3EKQ	A,B
3OXX	A,B,C,D
3MXD	A,B
3MXE	A,B
3OXV	A,B,C,D
3OY4	A,B
3EM6	A,B
4DKO	A,C
4DKP	A,C
4DKR	A,C
4DKQ	A
3EM4	A,B,U,V
6K6M	A
1CPI	A,B,C
7QDF	A
3EM3	A,B
3T3C	A,B
3MLR	P
4A4Q	A,B
6VU2	H,L
3VTP	C,D
3GGU	A,B
4XRO	A
3I8W	A
3TTP	A,B
6P9A	A,B
4FE6	A
2ONT	A
4U0E	A
4U0F	A
3ST5	A,B
4DFG	A,B
4HLA	A,B
6P9B	A,B
4E1M	A
4E1N	A
7N6T	A,B
3AV9	A,B
3AVA	A,B
3AVB	A,B
3AVC	A,B
3AVF	A,B
3AVG	A,B
3AVH	A,B
3AVI	A,B
3AVJ	A,B
3AVK	A,B
3AVL	A,B
3AVM	A,B
3AVN	A,B
3DK1	A,B
3TOF	A,B
3TOG	A,B,C,D
3TOH	A,B
6H09	A
3DJK	A,B
4DMN	A
4HDB	A,B
4HDF	A,B
4HDP	A,B
4HE9	A,B
4HEG	A,B
3H5B	A,B
3VF5	A,B
3VF7	A,B
3VFB	A,B
7N6V	A,B
4O0J	A
4O55	A
4O5B	A
3I6O	A,B
7N6X	A,B
4XFX	A
4JLH	A
3JVY	A,B
3JW2	A,B
6BHS	A
4GVM	A
5E5K	A,B
3JVW	A,B
7D83	A
5JPA	A
4ID1	A
4QNB	A
1KZK	A,B
3TKW	A,B
7WCE	A
1D4H	A,B
1D4I	A,B
1D4J	A,B
1W5V	A,B
1W5X	A,B
1W5Y	A,B
3DS5	A,B,C,D
3DS2	A,B
3TKG	A,B,C,D
3TL9	A,B
4ORZ	B
2I5Y	G,P
1W5W	A,B
4CP7	A,B
4CPT	A,B
4CPU	A,B
3DS0	A,T
3DS1	A,T
3DS4	A,B,T
3DOL	A,B
3RU8	X
4A6B	A,B
4A6C	A,B
4COE	A,B
4CPQ	A,B
4CPR	A,B
4CPS	A,B
4CPW	A,B
4CPX	A,B
7MAP	A,B
7MAQ	A,B
7MAR	A,B,C,D
7MAS	A,B,C,D
3REA	A,C
4IPY	A,B,C,D
1JKH	A,B
