Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
3ckzA	INFLUENZA A VIRUS	NEURAMINIDASE	PKHB2_HUMAN	Pleckstrin homology domain-containing family B member 2	3aj4B	3aj4AB	PKHB2_HUMAN - PKHB2_HUMAN	-8.475	-12.287	30	34	88.24%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, lung, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil"	1	0.142148283	0.882352941	0.125424956	-1.062976499	
3cl0A	INFLUENZA A VIRUS	NEURAMINIDASE	GNAO_HUMAN	Guanine nucleotide-binding protein G(o) subunit alpha	6g79A	6g79AB	GNAO_HUMAN - GBB1_HUMAN	-6.208	-5.164	66	73	90.41%	No expression data available	1.5	0.806743398	1.356164384	1.094076663	-6.792027925	
3cl0A	INFLUENZA A VIRUS	NEURAMINIDASE	GNAI2_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-2	6d9hA	6d9hAB	GNAI2_HUMAN - GBB1_HUMAN	-5.101	-6.675	69	75	92.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.751994585	1.38	1.037752528	-5.293575644	
3cl0A	INFLUENZA A VIRUS	NEURAMINIDASE	PKHB2_HUMAN	Pleckstrin homology domain-containing family B member 2	3aj4B	3aj4AB	PKHB2_HUMAN - PKHB2_HUMAN	-6.081	-12.287	30	34	88.24%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, lung, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil"	1	0.142148283	0.882352941	0.125424956	-0.762709155	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-5.53	-6.38	26	34	76.47%	No expression data available	1	0.078403832	0.764705882	0.059955871	-0.331555968	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.258	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.488782197	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein	5z58E	5z58AE	SNR40_HUMAN - PRP8_HUMAN	-8.222		23	29	79.31%	No expression data available	0.5	0.066852424	0.396551724	0.026510444	-0.21796887	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CLAP1_HUMAN	CLIP-associating protein 1	4k92A	4k92AB	CLAP1_HUMAN - CLAP1_HUMAN	-5.132	-2.959	26	39	66.67%	No expression data available	1	0	0.666666667	0	0	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.978	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.848097644	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	VINC_HUMAN	Vinculin	1ydiA	1ydiAB	VINC_HUMAN - ACTN4_HUMAN	-6.637	-27.987	24	24	100.00%	No expression data available	0.5	0.925734845	0.5	0.462867422	-3.072051082	
