Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Tissue Expression	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	GLSK_HUMAN	Glutaminase kidney isoform, mitochondrial	5uqeD	chain D	5uqeAD	GLSK_HUMAN - GLSK_HUMAN	-5.148	-5.944	16	16	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.538376206																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1	2fjmB	chain B	2fjmAB	PTN1_HUMAN - PTN1_HUMAN	-5.062	-3.872	16	21	76.19%	No expression data available	0.5	0.0	0.380952381	0	0																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	RAVR1_HUMAN	Ribonucleoprotein PTB-binding 1	3h2uB	chain B	3h2uAB	RAVR1_HUMAN - VINC_HUMAN	-8.012	-6.59	44	46	95.65%	No expression data available	1.0	0.325743803	0.956521739	0.311581029	-2.496387207																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial	2hw5B	chain B	2hw5AB	ECHM_HUMAN - ECHM_HUMAN	-9.721	-5.13	31	31	100.00%	No expression data available	1.0	0.00902666	1.0	0.00902666	-0.087748157																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	PSB3_HUMAN	Proteasome subunit beta type-3	6avoY	chain Y	6avoYZ	PSB3_HUMAN - PSA4_HUMAN	-5.915	-8.114	18	22	81.82%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.209159365	0.409090909	0.085565195	-0.506118128																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	CDC42_HUMAN	Cell division control protein 42 homolog	1gzsC	chain C	1gzsBC	CDC42_HUMAN - SOPE_SALTM	-6.439	-6.286	26	27	96.30%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.209159365	0.481481481	0.100706361	-0.648448259																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	DNM3B_HUMAN	DNA (cytosine-5)-methyltransferase 3B	3qkjB	chain B	3qkjAB	DNM3B_HUMAN - DNM3B_HUMAN	-6.442	-7.642	23	25	92.00%	No expression data available	0.5	0.0	0.46	0	0																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	RM47_HUMAN	39S ribosomal protein L47, mitochondrial	3j7yY	chain Y	3j7y2Y	RM47_HUMAN - RM34_HUMAN	-6.853	-7.817	22	24	91.67%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.228984276	0.458333333	0.104951127	-0.719230071																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	HBA_HUMAN	Hemoglobin subunit alpha	3ia3B	chain B	3ia3BC	HBA_HUMAN - AHSP_HUMAN	-14.764	-10	34	38	89.47%	No expression data available	1.0	0.423574609	0.894736842	0.378987808	-5.595376005																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	PTPRN_HUMAN	Receptor-type tyrosine-protein phosphatase-like N	3np5C	chain C	3np5AC	PTPRN_HUMAN - PTPRN_HUMAN	-8.319	-6.876	22	25	88.00%	No expression data available	0.5	0.020533517	0.44	0.009034747	-0.075160064																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2	3iuxA	chain A	3iuxAC	MDM2_HUMAN - MDM2_HUMAN	-5.384	-6.284	16	20	80.00%	No expression data available	0.5	0.162465063	0.4	0.064986025	-0.349884759																																																																																	
