Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
6g01A	INFLUENZA A VIRUS (A/TEXAS/17/2009(H1N1))	NEURAMINIDASE	PKHB2_HUMAN	Pleckstrin homology domain-containing family B member 2	3aj4B	3aj4AB	PKHB2_HUMAN - PKHB2_HUMAN	-7.568	-12.287	30	34	88.24%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, lung, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil"	1	0.142148283	0.882352941	0.125424956	-0.949216064
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	CIP2A_HUMAN	Protein CIP2A	5uflB	5uflAB	CIP2A_HUMAN - CIP2A_HUMAN	-5.103	-19.09	40	46	86.96%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.99895305	0.869565217	0.868654826	-4.432745577
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-5.867	-6.38	25	34	73.53%	No expression data available	1	0.078403832	0.735294118	0.057649876	-0.338231823
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	F16P1_HUMAN	"Fructose-1,6-bisphosphatase 1"	2fhyH	2fhyAH	F16P1_HUMAN - F16P1_HUMAN	-6.241	-7.129	20	30	66.67%	No expression data available	1	0.182943827	0.666666667	0.121962551	-0.761168282
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.76	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.535447975
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	PSMD6_HUMAN	26S proteasome non-ATPase regulatory subunit 6	5ln3R	5ln3RU	PSMD6_HUMAN - PSMD7_HUMAN	-5.038	-4.068	24	29	82.76%	No expression data available	0.5	0	0.413793103	0	0
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	VINC_HUMAN	Vinculin	1ydiA	1ydiAB	VINC_HUMAN - ACTN4_HUMAN	-6.098	-27.987	24	24	100.00%	No expression data available	0.5	0.925734845	0.5	0.462867422	-2.822565542
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-5.846	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.35873572
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-6.088	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.602172816
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-5.027	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.440518167
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	RAB8A_HUMAN	Ras-related protein Rab-8A	4li0B	4li0BC	RAB8A_HUMAN - R3GEF_HUMAN	-5.684	-11.19	25	34	73.53%	No expression data available	1	0.430312259	0.735294118	0.316406073	-1.798452119
